Name,F,M,M_weight,F_weight
CLIO,33,0,0,1
CLIVE,0,233,1,0
CLODAGH,6,0,0,1
CLOE,78,0,0,1
CLOEY,33,0,0,1
CLORINDA,79,0,0,1
CLOTILDA,10,0,0,1
CLOTILDE,34,0,0,1
CLOVER,83,0,0,1
CLYDE,0,3413,1,0
CLYDETTE,6,0,0,1
COBY,0,274,1,0
COCO,88,0,0,1
CODEY,0,94,1,0
CODI,15,57,0.791666667,0.208333333
CODIE,13,72,0.847058824,0.152941176
CODY,103,8060,0.98738209,0.01261791
COEN,0,27,1,0
COHEN,0,165,1,0
COLBIE,35,0,0,1
COLBY,102,1329,0.928721174,0.071278826
COLDEN,0,135,1,0
COLE,0,5263,1,0
COLEEN,1218,0,0,1
COLEMAN,0,221,1,0
COLESON,0,7,1,0
COLETON,0,5,1,0
COLETTA,10,0,0,1
COLETTE,2204,0,0,1
COLIN,0,9323,1,0
COLLEEN,18687,0,0,1
COLLETTE,349,0,0,1
COLLIN,0,3543,1,0
COLLINS,37,5,0.119047619,0.880952381
COLLIS,0,5,1,0
COLM,0,8,1,0
COLSON,0,21,1,0
COLT,0,206,1,0
COLTEN,0,221,1,0
COLTIN,0,5,1,0
COLTON,0,2695,1,0
COLTYN,0,12,1,0
COLUMBIA,59,0,0,1
COLVIN,0,5,1,0
CONAN,0,12,1,0
CONCEPCION,5,0,0,1
CONCETTA,5838,0,0,1
CONCETTINA,11,0,0,1
CONCETTO,0,6,1,0
CONCHETTA,10,0,0,1
CONCHITA,15,0,0,1
CONFESOR,0,5,1,0
CONGETTA,53,0,0,1
CONLAN,0,5,1,0
CONNER,0,1348,1,0
CONNIE,9085,0,0,1
CONNOR,21,12464,0.998317982,0.001682018
CONO,0,75,1,0
CONOR,0,2753,1,0
CONRAD,0,2970,1,0
CONSTANC,8,0,0,1
CONSTANCE,14905,5,0.000335345,0.999664655
CONSTANT,0,5,1,0
CONSTANTINA,36,0,0,1
CONSTANTINE,0,1360,1,0
CONSTANTINO,0,95,1,0
CONSTANTINOS,0,143,1,0
CONSUELA,17,0,0,1
CONSUELLA,6,0,0,1
CONSUELO,412,0,0,1
CONTESSA,5,0,0,1
CONTINA,8,0,0,1
CONWAY,0,5,1,0
COOKIE,12,0,0,1
COOPER,7,2713,0.997426471,0.002573529
CORA,3569,0,0,1
CORAIMA,30,0,0,1
CORAL,357,0,0,1
CORALEE,5,0,0,1
CORALIE,55,0,0,1
CORALINE,150,0,0,1
CORALYNN,7,0,0,1
CORBAN,0,15,1,0
CORBIN,0,572,1,0
CORBYN,0,6,1,0
CORDELIA,323,0,0,1
CORDELL,0,357,1,0
CORDERO,0,52,1,0
COREEN,163,0,0,1
CORETTA,48,0,0,1
COREY,541,10981,0.953046346,0.046953654
CORI,633,12,0.018604651,0.981395349
CORIE,100,0,0,1
CORIN,93,5,0.051020408,0.948979592
CORINA,547,0,0,1
CORINE,259,0,0,1
CORINN,6,0,0,1
CORINNA,347,0,0,1
CORINNE,5705,0,0,1
CORINTHIA,10,0,0,1
CORINTHIAN,0,5,1,0
CORISSA,46,0,0,1
CORLISS,89,0,0,1
CORMAC,0,228,1,0
CORNEL,0,5,1,0
CORNELIA,1361,0,0,1
CORNELIUS,0,2838,1,0
CORNELL,0,547,1,0
CORRADO,0,5,1,0
CORRI,5,0,0,1
CORRIE,226,5,0.021645022,0.978354978
CORRIN,99,0,0,1
CORRINA,155,0,0,1
CORRINE,1389,0,0,1
CORRINNE,41,0,0,1
CORRY,0,44,1,0
CORRYN,5,0,0,1
CORTEZ,0,20,1,0
CORTLAND,0,19,1,0
CORTNEY,758,53,0.065351418,0.934648582
CORWIN,0,58,1,0
CORY,369,6100,0.942958726,0.057041274
COSETTE,41,0,0,1
COSIMA,12,0,0,1
COSIMO,0,176,1,0
COSME,0,6,1,0
COSMO,0,639,1,0
COSTAS,0,6,1,0
COTY,0,120,1,0
COUMBA,27,0,0,1
COURTENAY,30,0,0,1
COURTENEY,37,0,0,1
COURTLAND,0,11,1,0
COURTNEE,10,0,0,1
COURTNEY,12937,1396,0.097397614,0.902602386
COURTNIE,19,0,0,1
CRAIG,20,24489,0.999183973,0.000816027
CRAWFORD,0,18,1,0
CREE,30,0,0,1
CREED,0,5,1,0
CREIGHTON,0,6,1,0
CREW,0,19,1,0
CRIS,15,32,0.680851064,0.319148936
CRISSY,64,0,0,1
CRIST,0,5,1,0
CRISTA,143,0,0,1
CRISTAL,951,0,0,1
CRISTEN,90,0,0,1
CRISTHIAN,0,54,1,0
CRISTI,36,0,0,1
CRISTIAN,13,4332,0.997008055,0.002991945
CRISTIANA,21,0,0,1
CRISTIANO,0,171,1,0
CRISTIE,42,0,0,1
CRISTIN,291,0,0,1
CRISTINA,4627,0,0,1
CRISTINE,415,0,0,1
CRISTINO,0,5,1,0
CRISTO,0,6,1,0
CRISTOBAL,0,197,1,0
CRISTOFER,0,276,1,0
CRISTOPHER,0,980,1,0
CRISTY,213,0,0,1
CROSBY,0,117,1,0
CROSS,0,5,1,0
CRUZ,39,462,0.922155689,0.077844311
CRYSTA,49,0,0,1
CRYSTAL,18129,15,0.00082672,0.99917328
CRYSTALEE,5,0,0,1
CRYSTALYN,5,0,0,1
CRYSTINA,5,0,0,1
CRYSTLE,40,0,0,1
CULLEN,0,440,1,0
CURT,0,809,1,0
CURTIS,0,9268,1,0
CURTISS,0,122,1,0
CY,0,37,1,0
CYAN,51,0,0,1
CYANNE,6,0,0,1
CYBELE,10,0,0,1
CYD,6,0,0,1
CYDNEY,141,0,0,1
CYLE,0,45,1,0
CYNDI,101,0,0,1
CYNDIA,5,0,0,1
CYNDY,6,0,0,1
CYNTHIA,47396,60,0.001264329,0.998735671
CYPRESS,0,5,1,0
CYRA,5,0,0,1
CYRE,23,0,0,1
CYRENA,5,0,0,1
CYRIL,0,947,1,0
CYRSTAL,48,0,0,1
CYRUS,0,1233,1,0
CYTHIA,5,0,0,1
DA,0,29,1,0
DACIA,32,0,0,1
DAEMON,0,10,1,0
DAENERYS,48,0,0,1
DAEQUAN,0,78,1,0
DAESHA,10,0,0,1
DAESHAWN,0,36,1,0
DAEVON,0,51,1,0
DAFINA,28,0,0,1
DAFNE,77,0,0,1
DAGMAR,57,0,0,1
DAGNY,5,0,0,1
DAGOBERTO,0,28,1,0
DAGUAN,0,5,1,0
DAHIANA,24,0,0,1
DAHLIA,890,0,0,1
DAIANA,22,0,0,1
DAIJA,58,0,0,1
DAIJAH,57,0,0,1
DAIJON,0,10,1,0
DAILYN,16,0,0,1
DAIN,0,5,1,0
DAINA,94,0,0,1
DAIQUAN,0,87,1,0
DAIRA,23,0,0,1
DAISEY,5,0,0,1
DAISHA,164,0,0,1
DAISHAWN,0,30,1,0
DAISUKE,0,6,1,0
DAISY,6879,0,0,1
DAIVD,0,5,1,0
DAIVON,0,23,1,0
DAJA,35,0,0,1
DAJAH,55,0,0,1
DAJON,0,78,1,0
DAJOUR,0,48,1,0
DAJUAN,0,44,1,0
DAKARAI,0,58,1,0
DAKARI,0,75,1,0
DAKEEM,0,5,1,0
DAKODA,0,41,1,0
DAKOTA,1580,2515,0.614163614,0.385836386
DAKOTAH,15,13,0.464285714,0.535714286
DALARY,30,0,0,1
DALE,3188,10419,0.765708826,0.234291174
DALEYZA,99,0,0,1
DALIA,960,0,0,1
DALIAH,18,0,0,1
DALILA,309,0,0,1
DALILAH,88,0,0,1
DALISSA,5,0,0,1
DALIYAH,29,0,0,1
DALLAS,234,948,0.802030457,0.197969543
DALTON,0,1391,1,0
DALVIN,0,43,1,0
DALYA,7,0,0,1
DAMAIN,0,5,1,0
DAMALI,55,0,0,1
DAMAN,0,5,1,0
DAMANI,28,355,0.92689295,0.07310705
DAMANY,0,11,1,0
DAMAR,0,5,1,0
DAMARA,5,0,0,1
DAMARI,18,222,0.925,0.075
DAMARIO,0,7,1,0
DAMARION,0,39,1,0
DAMARIS,2082,0,0,1
DAMARY,55,0,0,1
DAMARYS,26,0,0,1
DAMASO,0,5,1,0
DAMEIN,0,10,1,0
DAMEL,0,10,1,0
DAMEN,0,58,1,0
DAMEON,0,92,1,0
DAMIAN,0,4836,1,0
DAMIANO,0,5,1,0
DAMIEN,0,3996,1,0
DAMIER,0,23,1,0
DAMIN,0,11,1,0
DAMION,0,902,1,0
DAMIR,0,133,1,0
DAMITA,23,0,0,1
DAMON,0,3909,1,0
DAMOND,0,32,1,0
DAMONE,0,71,1,0
DAMYA,17,0,0,1
DAMYAN,0,5,1,0
DAN,0,3134,1,0
DANA,13613,3388,0.199282395,0.800717605
DANAE,310,0,0,1
DANAH,5,0,0,1
DANAISHA,5,0,0,1
DANAJAH,5,0,0,1
DANAMARIE,11,0,0,1
DANASIA,186,0,0,1
DANAY,11,0,0,1
DANAYA,32,0,0,1
DANAYSHA,5,0,0,1
DANDRA,11,0,0,1
DANDRE,0,414,1,0
DANE,0,1248,1,0
DANEE,5,0,0,1
DANEEN,64,0,0,1
DANEIL,0,12,1,0
DANEISHA,12,0,0,1
DANELL,0,5,1,0
DANELLA,6,0,0,1
DANELLE,227,0,0,1
DANELLY,5,0,0,1
DANESHA,23,0,0,1
DANETTE,512,0,0,1
DANGELO,0,259,1,0
DANI,331,8,0.02359882,0.97640118
DANIA,548,0,0,1
DANIAL,0,269,1,0
DANICA,724,0,0,1
DANIE,0,6,1,0
DANIEL,670,175391,0.996194501,0.003805499
DANIELA,4808,0,0,1
DANIELE,341,94,0.216091954,0.783908046
DANIELL,23,0,0,1
DANIELLA,4232,0,0,1
DANIELLE,39490,139,0.003507532,0.996492468
DANIIL,0,5,1,0
DANIKA,348,0,0,1
DANILO,0,354,1,0
DANINE,18,0,0,1
DANIQUA,21,0,0,1
DANISH,0,10,1,0
DANISHA,190,0,0,1
DANITA,317,0,0,1
DANITRA,5,0,0,1
DANIYA,15,0,0,1
DANIYAH,18,0,0,1
DANIYAL,0,98,1,0
DANN,0,16,1,0
DANNA,1031,0,0,1
DANNETTE,47,0,0,1
DANNI,5,0,0,1
DANNIE,0,110,1,0
DANNIEL,0,15,1,0
DANNIELLE,223,0,0,1
DANNON,0,5,1,0
DANNY,5,10770,0.999535963,0.000464037
DANTAE,0,12,1,0
DANTE,0,3974,1,0
DANTHONY,0,10,1,0
DANY,0,36,1,0
DANYA,97,0,0,1
DANYAL,0,49,1,0
DANYEL,49,0,0,1
DANYELL,30,0,0,1
DANYELLE,237,0,0,1
DANZEL,0,22,1,0
DAOUD,0,6,1,0
DAOUDA,0,16,1,0
DAPHNE,2669,0,0,1
DAPHNEY,89,0,0,1
DAQUAN,0,1366,1,0
DAQUANA,11,0,0,1
DAQUANN,0,6,1,0
DAQUON,0,33,1,0
DARA,1471,0,0,1
DARAH,16,0,0,1
DARBY,112,12,0.096774194,0.903225806
DARCEL,105,0,0,1
DARCELL,15,0,0,1
DARCEY,56,0,0,1
DARCI,218,0,0,1
DARCIE,302,0,0,1
DARCY,1729,64,0.035694367,0.964305633
DARDAN,0,18,1,0
DAREK,0,5,1,0
DARELL,0,136,1,0
DAREN,0,649,1,0
DARIA,1113,0,0,1
DARIAN,165,700,0.809248555,0.190751445
DARIANA,210,0,0,1
DARIANNA,10,0,0,1
DARIANNY,18,0,0,1
DARICE,33,0,0,1
DARICK,0,6,1,0
DARIEL,0,612,1,0
DARIELLE,23,0,0,1
DARIELYS,5,0,0,1
DARIEN,75,890,0.922279793,0.077720207
DARIN,0,1373,1,0
DARINA,11,0,0,1
DARIO,0,750,1,0
DARION,0,129,1,0
DARIS,0,8,1,0
DARITZA,8,0,0,1
DARIUS,0,2589,1,0
DARLA,860,0,0,1
DARLEEN,725,0,0,1
DARLENE,14164,0,0,1
DARLINE,100,0,0,1
DARLYN,23,0,0,1
DARLYNE,11,0,0,1
DARNEL,0,115,1,0
DARNELL,82,2661,0.970105724,0.029894276
DARNELLE,5,10,0.666666667,0.333333333
DARNLEY,0,5,1,0
DARON,0,326,1,0
DARRAL,0,6,1,0
DARRAN,0,10,1,0
DARREL,0,779,1,0
DARRELL,0,5044,1,0
DARREN,18,8267,0.997827399,0.002172601
DARRIAN,0,44,1,0
DARRICK,0,295,1,0
DARRIEN,0,103,1,0
DARRIN,0,1724,1,0
DARRION,0,26,1,0
DARRIUS,0,165,1,0
DARRLY,0,5,1,0
DARRON,0,109,1,0
DARROW,0,11,1,0
DARRY,0,18,1,0
DARRYL,73,7983,0.990938431,0.009061569
DARRYLE,0,60,1,0
DARRYLL,0,12,1,0
DARRYN,0,33,1,0
DARSH,0,10,1,0
DARVIN,0,12,1,0
DARWIN,0,1794,1,0
DARWYN,0,5,1,0
DARYA,46,0,0,1
DARYL,516,3765,0.879467414,0.120532586
DARYLE,0,74,1,0
DARYLL,0,72,1,0
DARYN,6,18,0.75,0.25
DASANI,58,27,0.317647059,0.682352941
DASEAN,0,95,1,0
DASH,0,85,1,0
DASHA,165,0,0,1
DASHAUN,0,237,1,0
DASHAWN,7,1167,0.994037479,0.005962521
DASHAWNA,16,0,0,1
DASHAY,5,0,0,1
DASHIELL,0,211,1,0
DASHLEY,6,0,0,1
DASHON,0,20,1,0
DASIA,222,0,0,1
DAULTON,0,10,1,0
DAUN,5,0,0,1
DAUNTE,0,49,1,0
DAVANTE,0,92,1,0
DAVAUGHN,0,39,1,0
DAVE,0,3046,1,0
DAVELL,0,5,1,0
DAVEN,0,32,1,0
DAVEON,0,6,1,0
DAVEY,0,11,1,0
DAVI,0,8,1,0
DAVIA,23,0,0,1
DAVIAN,6,222,0.973684211,0.026315789
DAVIANA,10,0,0,1
DAVIANNA,15,0,0,1
DAVID,876,279805,0.996879019,0.003120981
DAVIDA,232,0,0,1
DAVIDE,0,38,1,0
DAVIDSON,0,6,1,0
DAVIE,0,5,1,0
DAVIEL,0,11,1,0
DAVIEN,0,36,1,0
DAVIER,0,5,1,0
DAVIN,0,422,1,0
DAVINA,563,0,0,1
DAVION,0,374,1,0
DAVIS,0,700,1,0
DAVON,5,1492,0.996659987,0.003340013
DAVONA,7,0,0,1
DAVONE,0,36,1,0
DAVONNA,18,0,0,1
DAVONNE,0,21,1,0
DAVONTA,0,6,1,0
DAVONTAE,0,6,1,0
DAVONTAY,0,5,1,0
DAVONTE,0,286,1,0
DAWAN,0,5,1,0
DAWANA,5,0,0,1
DAWID,0,14,1,0
DAWN,30039,45,0.001495812,0.998504188
DAWNA,101,0,0,1
DAWNE,196,0,0,1
DAWNMARIE,196,0,0,1
DAWOOD,0,19,1,0
DAWSON,0,780,1,0
DAWUD,0,44,1,0
DAX,0,140,1,0
DAXTON,0,77,1,0
DAYA,5,0,0,1
DAYAMI,14,0,0,1
DAYANA,874,0,0,1
DAYANARA,360,0,0,1
DAYANNA,108,0,0,1
DAYATRA,5,0,0,1
DAYJA,6,0,0,1
DAYLA,5,0,0,1
DAYLAN,0,5,1,0
DAYLE,87,0,0,1
DAYLEN,0,24,1,0
DAYLIN,12,5,0.294117647,0.705882353
DAYLON,0,6,1,0
DAYNA,1154,0,0,1
DAYNE,0,32,1,0
DAYQUAN,0,137,1,0
DAYRA,15,0,0,1
DAYRON,0,6,1,0
DAYSHA,67,0,0,1
DAYSHAUN,0,5,1,0
DAYSHAWN,0,188,1,0
DAYSI,54,0,0,1
DAYSIA,10,0,0,1
DAYTON,0,224,1,0
DAYVEON,0,5,1,0
DAYVION,0,7,1,0
DAYVON,0,175,1,0
DE,18,96,0.842105263,0.157894737
DEA,58,0,0,1
DEACON,0,158,1,0
DEAGLAN,0,13,1,0
DEAN,7,11732,0.999403697,0.000596303
DEANA,1226,0,0,1
DEANDRA,315,0,0,1
DEANDRE,0,882,1,0
DEANDREA,16,0,0,1
DEANE,0,64,1,0
DEANGELO,0,66,1,0
DEANN,100,0,0,1
DEANNA,8216,0,0,1
DEANNE,755,0,0,1
DEANTE,0,19,1,0
DEASIA,181,0,0,1
DEATRICE,11,0,0,1
DEAVION,14,0,0,1
DEB,22,0,0,1
DEBBI,200,0,0,1
DEBBIE,10652,0,0,1
DEBBRA,101,0,0,1
DEBBY,581,0,0,1
DEBERA,16,0,0,1
DEBI,154,0,0,1
DEBORA,2289,0,0,1
DEBORAH,68092,110,0.001612856,0.998387144
DEBORAHANN,10,0,0,1
DEBORHA,26,0,0,1
DEBORRAH,6,0,0,1
DEBRA,39493,28,0.000708484,0.999291516
DEBRAANN,22,0,0,1
DEBRAH,207,0,0,1
DEBROAH,42,0,0,1
DECEMBER,12,0,0,1
DECKER,0,25,1,0
DECLAN,0,2529,1,0
DEDE,11,0,0,1
DEDRA,98,0,0,1
DEE,275,0,0,1
DEEDEE,36,0,0,1
DEEDRA,5,0,0,1
DEEGAN,0,42,1,0
DEEN,0,56,1,0
DEENA,1236,0,0,1
DEEP,0,5,1,0
DEEPA,5,0,0,1
DEEPAK,0,12,1,0
DEEPIKA,5,0,0,1
DEFNE,20,0,0,1
DEFOREST,0,82,1,0
DEIDRA,542,0,0,1
DEIDRE,1536,0,0,1
DEION,0,252,1,0
DEIRDRA,45,0,0,1
DEIRDRE,3837,0,0,1
DEISI,5,0,0,1
DEISY,97,0,0,1
DEJA,759,0,0,1
DEJAH,76,0,0,1
DEJANAE,6,0,0,1
DEJON,0,117,1,0
DEJUAN,0,31,1,0
DEKLAN,0,26,1,0
DEL,0,24,1,0
DELAINA,5,0,0,1
DELAINE,6,0,0,1
DELAINEY,5,0,0,1
DELANA,6,0,0,1
DELANEY,1394,0,0,1
DELANIE,119,0,0,1
DELANO,0,162,1,0
DELANY,11,0,0,1
DELBERT,0,621,1,0
DELCINA,6,0,0,1
DELFIN,0,5,1,0
DELFINA,11,0,0,1
DELIA,2401,0,0,1
DELIAH,6,0,0,1
DELICIA,55,0,0,1
DELILA,43,0,0,1
DELILAH,1999,0,0,1
DELISA,45,0,0,1
DELL,0,12,1,0
DELLA,1135,0,0,1
DELMA,60,0,0,1
DELMAR,0,53,1,0
DELOIS,5,0,0,1
DELON,0,17,1,0
DELORES,4861,0,0,1
DELORIS,416,0,0,1
DELOS,0,31,1,0
DELPHINE,517,0,0,1
DELROY,0,154,1,0
DELVIN,0,83,1,0
DELVON,0,36,1,0
DELWIN,0,5,1,0
DELYLAH,6,0,0,1
DEMANI,0,24,1,0
DEMAR,0,11,1,0
DEMARCO,0,31,1,0
DEMARCUS,0,20,1,0
DEMARI,0,72,1,0
DEMARIO,0,106,1,0
DEMARION,0,5,1,0
DEMARIS,16,0,0,1
DEMETRA,243,0,0,1
DEMETREUS,0,5,1,0
DEMETRI,0,270,1,0
DEMETRIA,326,0,0,1
DEMETRICE,6,5,0.454545455,0.545454545
DEMETRIO,0,16,1,0
DEMETRIOS,0,590,1,0
DEMETRIOUS,0,10,1,0
DEMETRIS,0,25,1,0
DEMETRIU,0,9,1,0
DEMETRIUS,0,1751,1,0
DEMETRUIS,0,5,1,0
DEMI,596,0,0,1
DEMIAN,0,57,1,0
DEMIR,0,48,1,0
DEMITRI,0,150,1,0
DEMITRIUS,0,51,1,0
DEMOND,0,141,1,0
DEMONICA,5,0,0,1
DEMPSEY,0,21,1,0
DENA,1789,0,0,1
DENAE,51,0,0,1
DENALI,6,0,0,1
DENASIA,65,0,0,1
DENEAN,5,0,0,1
DENEE,6,0,0,1
DENEEN,335,0,0,1
DENEENE,6,0,0,1
DENENE,12,0,0,1
DENESE,24,0,0,1
DENESHA,11,0,0,1
DENIA,10,0,0,1
DENICE,625,0,0,1
DENIECE,11,0,0,1
DENIELLE,28,0,0,1
DENILSON,0,23,1,0
DENIM,10,151,0.937888199,0.062111801
DENINE,84,0,0,1
DENIRO,0,5,1,0
DENIS,0,3603,1,0
DENISE,43711,110,0.002510212,0.997489788
DENISHA,289,0,0,1
DENISSE,654,0,0,1
DENITA,22,0,0,1
DENIZ,24,163,0.871657754,0.128342246
DENNIS,46,46102,0.999003207,0.000996793
DENNISE,139,0,0,1
DENNY,0,491,1,0
DENNYS,0,21,1,0
DENVER,23,68,0.747252747,0.252747253
DENYSE,63,0,0,1
DENZEL,0,1101,1,0
DENZELL,0,50,1,0
DENZIL,0,26,1,0
DEON,0,612,1,0
DEONDRA,11,0,0,1
DEONDRE,0,144,1,0
DEONNA,89,0,0,1
DEONNE,5,0,0,1
DEONTAE,0,13,1,0
DEONTE,0,112,1,0
DEQUAN,0,275,1,0
DERECK,0,503,1,0
DEREK,5,14687,0.999659679,0.000340321
DERELL,0,6,1,0
DEREON,0,26,1,0
DERIAN,0,11,1,0
DERIC,0,91,1,0
DERICK,0,1365,1,0
DERIK,0,169,1,0
DERIN,0,12,1,0
DERION,0,6,1,0
DERMOT,0,41,1,0
DERMOTT,0,5,1,0
DERON,0,282,1,0
DERRECK,0,10,1,0
DERREK,0,37,1,0
DERREL,0,5,1,0
DERRELL,0,107,1,0
DERRIC,0,14,1,0
DERRICK,16,8484,0.998117647,0.001882353
DERRIK,0,10,1,0
DERRON,0,11,1,0
DERWIN,0,180,1,0
DERYCK,0,10,1,0
DESARAE,12,0,0,1
DESAREE,15,0,0,1
DESEAN,0,281,1,0
DESEREE,11,0,0,1
DESERIE,55,0,0,1
DESHA,10,0,0,1
DESHAUN,0,283,1,0
DESHAWN,44,1045,0.95959596,0.04040404
DESHAWNA,5,0,0,1
DESHON,0,25,1,0
DESI,0,36,1,0
DESIRAE,425,0,0,1
DESIRAY,15,0,0,1
DESIRE,443,0,0,1
DESIREA,35,0,0,1
DESIREE,6814,0,0,1
DESMOND,0,2328,1,0
DESPINA,325,0,0,1
DESTANY,50,0,0,1
DESTENY,82,0,0,1
DESTIN,0,254,1,0
DESTINE,7,0,0,1
DESTINEE,608,0,0,1
DESTINEY,250,0,0,1
DESTINI,299,0,0,1
DESTINIE,86,0,0,1
DESTINY,8142,0,0,1
DESTYNI,5,0,0,1
DETRA,52,0,0,1
DEV,0,160,1,0
DEVAL,0,5,1,0
DEVAN,190,547,0.7421981,0.2578019
DEVANAND,0,5,1,0
DEVANSH,0,6,1,0
DEVANTE,0,571,1,0
DEVAUGHN,0,200,1,0
DEVAUN,0,5,1,0
DEVEN,18,517,0.96635514,0.03364486
DEVENDRA,0,5,1,0
DEVERE,0,5,1,0
DEVI,26,0,0,1
DEVIKA,30,0,0,1
DEVIN,963,8261,0.895598439,0.104401561
DEVINA,24,0,0,1
DEVINDRA,0,5,1,0
DEVINE,11,129,0.921428571,0.078571429
DEVION,0,6,1,0
DEVLIN,0,127,1,0
DEVOIRY,58,0,0,1
DEVON,1158,4874,0.808023873,0.191976127
DEVONA,18,0,0,1
DEVONE,0,56,1,0
DEVONNE,11,25,0.694444444,0.305555556
DEVONTA,0,7,1,0
DEVONTAE,0,25,1,0
DEVONTE,0,559,1,0
DEVORA,980,0,0,1
DEVORAH,2148,0,0,1
DEVORY,62,0,0,1
DEVYN,311,259,0.454385965,0.545614035
DEVYNE,0,5,1,0
DEWAYNE,0,354,1,0
DEWEY,0,417,1,0
DEWITT,0,309,1,0
DEXTER,0,1571,1,0
DEYANIRA,36,0,0,1
DEYSI,51,0,0,1
DEZARAY,5,0,0,1
DEZIAH,5,0,0,1
DEZIRE,15,0,0,1
DEZIREE,10,0,0,1
DEZMOND,0,38,1,0
DHANA,5,0,0,1
DHANI,0,7,1,0
DHILAN,0,11,1,0
DHRUV,0,167,1,0
DIA,40,0,0,1
DIAHANN,66,0,0,1
DIALLO,0,29,1,0
DIAMOND,2579,73,0.027526395,0.972473605
DIAMONIQUE,56,0,0,1
DIAMONTE,0,5,1,0
DIAN,233,0,0,1
DIANA,34638,58,0.001671662,0.998328338
DIANDRA,312,0,0,1
DIANDRE,0,5,1,0
DIANE,64000,91,0.001419856,0.998580144
DIANELYS,5,0,0,1
DIANN,516,0,0,1
DIANNA,2546,0,0,1
DIANNE,7469,0,0,1
DIANTE,0,18,1,0
DIARRA,5,0,0,1
DIASIA,10,0,0,1
DIAVIAN,17,0,0,1
DIAVION,5,0,0,1
DICK,0,732,1,0
DICKSON,0,21,1,0
DIDIER,0,25,1,0
DIEDRA,38,0,0,1
DIEDRE,101,0,0,1
DIEGO,0,4012,1,0
DIEM,5,0,0,1
DIERDRA,5,0,0,1
DIERDRE,98,0,0,1
DIETER,0,28,1,0
DIETRA,5,0,0,1
DIGNA,100,0,0,1
DIJON,0,106,1,0
DILAN,0,291,1,0
DILARA,17,0,0,1
DILLAN,0,229,1,0
DILLION,0,73,1,0
DILLON,0,2848,1,0
DILON,0,5,1,0
DIMAS,0,37,1,0
DIMITRA,97,0,0,1
DIMITRI,0,953,1,0
DIMITRIOS,0,597,1,0
DIMITRIS,0,16,1,0
DIMITRIUS,0,23,1,0
DIMITRY,0,29,1,0
DIMPLE,5,0,0,1
DINA,5965,0,0,1
DINAH,661,0,0,1
DINAMARIE,10,0,0,1
DINARI,0,6,1,0
DINEEN,70,0,0,1
DINESH,0,5,1,0
DINO,0,1020,1,0
DINORA,5,0,0,1
DINORAH,66,0,0,1
DIOGENES,0,26,1,0
DIOGO,0,27,1,0
DION,10,1219,0.991863303,0.008136697
DIONA,10,0,0,1
DIONDRA,5,0,0,1
DIONDRE,0,45,1,0
DIONE,74,0,0,1
DIONIS,0,7,1,0
DIONISIO,0,63,1,0
DIONNA,167,0,0,1
DIONNE,690,0,0,1
DIONTE,0,41,1,0
DIONY,0,6,1,0
DIOR,134,101,0.429787234,0.570212766
DIQUAN,0,12,1,0
DIRK,0,371,1,0
DISHA,5,0,0,1
DISHAWN,0,5,1,0
DIVINA,11,0,0,1
DIVINE,106,381,0.782340862,0.217659138
DIVYA,258,0,0,1
DIXIE,440,0,0,1
DIXON,0,32,1,0
DIYA,301,0,0,1
DIYOR,0,14,1,0
DIYORA,18,0,0,1
DJENEBA,20,0,0,1
DJIBRIL,0,30,1,0
DJIMON,0,6,1,0
DJUANA,8,0,0,1
DJUNA,7,0,0,1
DMITRI,0,68,1,0
DMITRIY,0,5,1,0
DMITRY,0,24,1,0
DOBA,6,0,0,1
DODIE,12,0,0,1
DOHA,6,0,0,1
DOLLIE,12,0,0,1
DOLLY,557,0,0,1
DOLORES,24523,40,0.001628466,0.998371534
DOLORIS,11,0,0,1
DOM,0,16,1,0
DOMANI,0,5,1,0
DOMANICK,0,5,1,0
DOMANIQUE,5,0,0,1
DOMENIC,0,1021,1,0
DOMENICA,1154,0,0,1
DOMENICK,0,1849,1,0
DOMENICO,0,834,1,0
DOMENIQUE,30,0,0,1
DOMINGA,5,0,0,1
DOMINGO,0,820,1,0
DOMINIC,0,13055,1,0
DOMINICA,217,0,0,1
DOMINICK,5,16889,0.999704037,0.000295963
DOMINIGUE,8,0,0,1
DOMINIK,0,494,1,0
DOMINIKA,14,0,0,1
DOMINIQU,15,0,0,1
DOMINIQUA,5,0,0,1
DOMINIQUE,4865,725,0.129695886,0.870304114
DOMINQUE,295,42,0.12462908,0.87537092
DOMONIC,0,25,1,0
DOMONICK,0,6,1,0
DOMONIQUE,425,27,0.059734513,0.940265487
DON,0,4031,1,0
DONA,929,0,0,1
DONAL,0,81,1,0
DONALD,280,105064,0.997342041,0.002657959
DONASIA,7,0,0,1
DONATA,17,0,0,1
DONATELLA,5,0,0,1
DONATO,0,692,1,0
DONAVAN,0,300,1,0
DONAVEN,0,5,1,0
DONAVIN,0,80,1,0
DONAVON,0,74,1,0
DONDI,0,31,1,0
DONDRE,0,251,1,0
DONEISHA,7,0,0,1
DONELL,0,283,1,0
DONELLE,0,10,1,0
DONETTE,5,0,0,1
DONG,0,12,1,0
DONIA,18,0,0,1
DONIELLE,86,0,0,1
DONIKA,5,0,0,1
DONISHA,21,0,0,1
DONITA,37,0,0,1
DONN,0,283,1,0
DONNA,68379,96,0.001401972,0.998598028
DONNAJEAN,6,0,0,1
DONNALEE,65,0,0,1
DONNAMARIE,292,0,0,1
DONNEL,0,11,1,0
